Company Name,Public/Private,Ticker,Industry,CIK
Aerostar,Private,,Infrastructure,
Bayonne Water,Private,,Infrastructure,
Macquarie Infrastructure,Private,,Infrastructure,
Matson Inc,Public,MATX,Transportation,0000003453
Peacock Engineering,Private,,Consumer/Retail,
NetScout Systems,Public,NTCT,Tech,0001078075
Hostess Brands LLC,Private,,Consumer/Retail,
A10 Networks Inc,Public,ATEN,Tech,0001580808
Jackson Hewitt Tax Service,Private,,Tech,
Dropbox,Private,,Tech,
Heartland Payment Systems,Public,HPY,Tech,0001144354
US LBM,Private,,Industrials,
Osmose Utilities Services,Private,,Industrials,
Hoyt's Group Holding LLC,Private,,CME,
TI Automotive,Private,,Auto,
Lannett Co Inc,Public,LCI,Healthcare,0000057725
Foundation Building Materials,Private,,Industrials,
Hewlett Packard Enterprise,Public,HPE,Tech,0001645590
Time Warner Cable Inc,Public,TWC,CME,0001377013
Allscripts Healthcare Solutions,Public,MDRX,Healthcare,0001124804
Skyway Concession Company LLC,Private,,Infrastructure,
AT&T Inc.,Public,T,CME,0000732717
Southern Star Central Gas Pipeline,Private,,Energy,
"A10 Capital, LLC",Private,,Real Estate,
Daimler Canada Finance Inc.,Public,DAI,Auto,0001067318
National Rural Utilities CFC,Private,,Power/Utility,
Old Line Funding (Verizon),Private,,Securitization,
IBM Corporation,Public,IBM,Tech,0000051143
American Honda Finance Corporation,Public,HMC,Auto,0000715153
Ford Motor Credit Company LLC,Public,F,Auto,0000037996
Allete Inc,Public,ALE,Power/Utility,0000066756
